ESPE,ESPE_rc,YEAR,source,FCC,Ocu1,tile_name,coastal_spring,blue_spring,green_spring,red_spring,nir_spring,swir1_spring,swir2_spring,coastal_summer,blue_summer,green_summer,red_summer,nir_summer,swir1_summer,swir2_summer,coastal_summerlong,blue_summerlong,green_summerlong,red_summerlong,nir_summerlong,swir1_summerlong,swir2_summerlong,aspect,dem,shadow,slope,acibasi
2.0,2,1985.0,Digitized,,,p10,,,,,,,,398.5,424.0,595.5,609.0,1496.0,1222.0,865.5,398.5,424.0,595.5,609.0,1496.0,1222.0,865.5,280.3843994140625,988.0,160.0,19.184619903564453,1.0
2.0,2,1985.0,Digitized,,,p10,,,,,,,,432.5,457.0,638.5,644.5,1715.5,1395.0,988.0,432.5,457.0,638.5,644.5,1715.5,1395.0,988.0,344.6420593261719,985.0,141.0,11.90943431854248,1.0
2.0,2,1985.0,Digitized,,,p10,,,,,,,,459.5,480.0,653.5,705.0,1567.0,1422.0,1097.0,459.5,480.0,653.5,705.0,1567.0,1422.0,1097.0,344.02197265625,1003.0,136.0,13.322586059570312,1.0
2.0,2,1985.0,Digitized,,,p10,,,,,,,,475.5,476.0,647.0,696.5,1412.0,1296.0,1195.0,475.5,476.0,647.0,696.5,1412.0,1296.0,1195.0,347.5079345703125,1020.0,139.0,12.494315147399902,1.0
2.0,2,1985.0,Digitized,,,p10,,,,,,,,447.0,457.5,621.5,640.5,1462.5,1211.5,1007.5,447.0,457.5,621.5,640.5,1462.5,1211.5,1007.5,339.5423278808594,1028.0,145.0,11.056512832641602,1.0
2.0,2,1985.0,Digitized,,,p10,,,,,,,,380.0,412.0,614.5,611.5,1622.5,1147.5,819.5,380.0,412.0,614.5,611.5,1622.5,1147.5,819.5,317.6859436035156,967.0,148.0,12.374035835266113,1.0
2.0,2,1985.0,Digitized,,,p10,,,,,,,,384.0,415.5,592.5,599.5,1596.0,1077.0,726.5,384.0,415.5,592.5,599.5,1596.0,1077.0,726.5,283.24932861328125,968.0,159.0,17.719993591308594,1.0
2.0,2,1985.0,Digitized,,,p10,,,,,,,,432.0,442.0,604.5,600.5,1467.5,1173.0,949.0,432.0,442.0,604.5,600.5,1467.5,1173.0,949.0,342.03790283203125,1031.0,147.0,10.3494291305542,1.0
2.0,2,1989.0,Digitized,,,p10,135.0,199.0,487.0,448.0,1681.0,1131.0,607.0,212.0,272.5,556.5,504.0,1872.0,1288.5,729.0,212.0,272.5,556.5,504.0,1872.0,1288.5,729.0,280.3843994140625,988.0,160.0,19.184619903564453,1.0
2.0,2,1989.0,Digitized,,,p10,134.0,209.0,544.0,517.0,1820.0,1327.0,813.0,238.5,296.5,568.0,565.5,1916.5,1434.0,849.0,238.5,296.5,568.0,565.5,1916.5,1434.0,849.0,344.02197265625,1003.0,136.0,13.322586059570312,1.0
2.0,2,1989.0,Digitized,,,p10,176.0,210.0,388.0,393.0,1649.0,1196.0,672.0,220.5,276.5,564.0,535.5,1898.0,1405.5,892.0,220.5,276.5,564.0,535.5,1898.0,1405.5,892.0,342.03790283203125,1031.0,147.0,10.3494291305542,1.0
2.0,2,1989.0,Digitized,,,p10,237.0,269.0,460.0,441.0,1664.0,1225.0,722.0,218.0,268.0,531.0,503.5,1821.5,1297.5,803.5,218.0,268.0,531.0,503.5,1821.5,1297.5,803.5,317.6859436035156,967.0,148.0,12.374035835266113,1.0
2.0,2,1989.0,Digitized,,,p10,284.0,299.0,434.0,498.0,1539.0,1478.0,916.0,261.0,321.0,601.0,654.0,1925.5,1749.5,1082.5,261.0,321.0,601.0,654.0,1925.5,1749.5,1082.5,347.5079345703125,1020.0,139.0,12.494315147399902,1.0
2.0,2,1989.0,Digitized,,,p10,198.0,240.0,471.0,553.0,1757.0,1469.0,939.0,243.0,277.0,476.0,491.5,2075.0,1484.0,841.5,243.0,277.0,476.0,491.5,2075.0,1484.0,841.5,344.6420593261719,985.0,141.0,11.90943431854248,1.0
2.0,2,1989.0,Digitized,,,p10,192.0,240.0,475.0,459.0,1648.0,1309.0,758.0,257.0,311.5,568.0,554.5,1954.5,1573.5,919.0,257.0,311.5,568.0,554.5,1954.5,1573.5,919.0,339.5423278808594,1028.0,145.0,11.056512832641602,1.0
2.0,2,1989.0,Digitized,,,p10,149.0,182.0,409.0,375.0,1790.0,1014.0,568.0,234.5,280.5,515.0,493.0,1825.0,1192.5,680.0,234.5,280.5,515.0,493.0,1825.0,1192.5,680.0,283.24932861328125,968.0,159.0,17.719993591308594,1.0
2.0,2,1989.0,Digitized,,,p10,206.0,233.0,441.0,297.0,2040.0,870.0,399.0,263.0,327.0,629.0,526.0,2389.0,1347.0,738.0,263.0,327.0,629.0,526.0,2389.0,1347.0,738.0,295.2746887207031,788.0,153.0,15.705121994018555,1.0
2.0,2,1999.0,Digitized,,,p10,5812.0,127.0,341.5,299.0,1731.5,1029.5,528.5,201.6,222.0,434.2,345.4,2071.6,1069.6,538.6,201.6,222.0,434.2,345.4,2071.6,1069.6,538.6,342.03790283203125,1031.0,147.0,10.3494291305542,1.0
2.0,2,1999.0,Digitized,,,p10,41.0,87.5,373.0,332.5,1867.5,1056.5,536.5,235.2,258.4,477.0,349.4,2217.6,1033.0,499.6,235.2,258.4,477.0,349.4,2217.6,1033.0,499.6,283.24932861328125,968.0,159.0,17.719993591308594,1.0
2.0,2,1999.0,Digitized,,,p10,87.5,124.5,365.5,368.5,1857.5,1225.0,655.0,193.4,226.0,480.0,361.8,2225.6,1104.2,540.8,193.4,226.0,480.0,361.8,2225.6,1104.2,540.8,317.6859436035156,967.0,148.0,12.374035835266113,1.0
