model,metric,label_code,data,pipe_name,pred_id
rf,overall_accuracy,,0.5649122807017544,smote_tomeklinks,manual_ndvi_2
rf,balanced_accuracy,,0.6053277958060058,smote_tomeklinks,manual_ndvi_2
rf,kappa,,0.5078774080011697,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,1.0,0.7377049180327868,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,2.0,0.2907801418439716,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,3.0,0.736842105263158,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,4.0,0.5683060109289617,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,6.0,0.36363636363636365,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,7.0,0.1910112359550562,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,11.0,0.7142857142857143,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,12.0,0.76,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,13.0,0.8333333333333334,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,14.0,0.6666666666666667,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,16.0,0.5,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,17.0,0.5454545454545454,smote_tomeklinks,manual_ndvi_2
rf,producer_acc,20.0,0.9612403100775194,smote_tomeklinks,manual_ndvi_2
rf,user_acc,1.0,0.7114624505928854,smote_tomeklinks,manual_ndvi_2
rf,user_acc,2.0,0.4606741573033708,smote_tomeklinks,manual_ndvi_2
rf,user_acc,3.0,0.33599999999999997,smote_tomeklinks,manual_ndvi_2
rf,user_acc,4.0,0.7375886524822695,smote_tomeklinks,manual_ndvi_2
rf,user_acc,6.0,0.31818181818181823,smote_tomeklinks,manual_ndvi_2
rf,user_acc,7.0,0.47887323943661975,smote_tomeklinks,manual_ndvi_2
rf,user_acc,11.0,0.32608695652173914,smote_tomeklinks,manual_ndvi_2
rf,user_acc,12.0,0.35185185185185186,smote_tomeklinks,manual_ndvi_2
rf,user_acc,13.0,0.7142857142857143,smote_tomeklinks,manual_ndvi_2
rf,user_acc,14.0,0.41025641025641024,smote_tomeklinks,manual_ndvi_2
rf,user_acc,16.0,0.23529411764705888,smote_tomeklinks,manual_ndvi_2
rf,user_acc,17.0,0.25,smote_tomeklinks,manual_ndvi_2
rf,user_acc,20.0,0.9323308270676691,smote_tomeklinks,manual_ndvi_2
svm,overall_accuracy,,0.5245614035087719,smote_tomeklinks,manual_ndvi_2
svm,balanced_accuracy,,0.6082063863418555,smote_tomeklinks,manual_ndvi_2
svm,kappa,,0.4671284633674536,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,1.0,0.709016393442623,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,2.0,0.15602836879432624,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,3.0,0.7192982456140351,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,4.0,0.5519125683060109,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,6.0,0.35064935064935066,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,7.0,0.1235955056179775,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,11.0,0.7142857142857143,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,12.0,0.6799999999999999,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,13.0,0.9444444444444444,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,14.0,0.5416666666666667,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,16.0,1.0,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,17.0,0.4545454545454546,smote_tomeklinks,manual_ndvi_2
svm,producer_acc,20.0,0.9612403100775194,smote_tomeklinks,manual_ndvi_2
svm,user_acc,1.0,0.709016393442623,smote_tomeklinks,manual_ndvi_2
svm,user_acc,2.0,0.3666666666666667,smote_tomeklinks,manual_ndvi_2
svm,user_acc,3.0,0.3203125,smote_tomeklinks,manual_ndvi_2
svm,user_acc,4.0,0.7372262773722628,smote_tomeklinks,manual_ndvi_2
svm,user_acc,6.0,0.29032258064516125,smote_tomeklinks,manual_ndvi_2
svm,user_acc,7.0,0.5116279069767442,smote_tomeklinks,manual_ndvi_2
svm,user_acc,11.0,0.20833333333333337,smote_tomeklinks,manual_ndvi_2
svm,user_acc,12.0,0.29824561403508776,smote_tomeklinks,manual_ndvi_2
svm,user_acc,13.0,0.5483870967741935,smote_tomeklinks,manual_ndvi_2
svm,user_acc,14.0,0.3291139240506329,smote_tomeklinks,manual_ndvi_2
svm,user_acc,16.0,0.19047619047619047,smote_tomeklinks,manual_ndvi_2
svm,user_acc,17.0,0.2272727272727273,smote_tomeklinks,manual_ndvi_2
svm,user_acc,20.0,0.9393939393939394,smote_tomeklinks,manual_ndvi_2
rf,overall_accuracy,,0.5394736842105263,smote_random,manual_ndvi_2
rf,balanced_accuracy,,0.5912416556786583,smote_random,manual_ndvi_2
rf,kappa,,0.479653902465319,smote_random,manual_ndvi_2
rf,producer_acc,1.0,0.6967213114754098,smote_random,manual_ndvi_2
rf,producer_acc,2.0,0.25531914893617025,smote_random,manual_ndvi_2
rf,producer_acc,3.0,0.7894736842105263,smote_random,manual_ndvi_2
rf,producer_acc,4.0,0.5573770491803278,smote_random,manual_ndvi_2
rf,producer_acc,6.0,0.3246753246753247,smote_random,manual_ndvi_2
rf,producer_acc,7.0,0.1292134831460674,smote_random,manual_ndvi_2
rf,producer_acc,11.0,0.6666666666666667,smote_random,manual_ndvi_2
rf,producer_acc,12.0,0.76,smote_random,manual_ndvi_2
rf,producer_acc,13.0,0.8333333333333334,smote_random,manual_ndvi_2
rf,producer_acc,14.0,0.6666666666666667,smote_random,manual_ndvi_2
rf,producer_acc,16.0,0.5,smote_random,manual_ndvi_2
rf,producer_acc,17.0,0.5454545454545454,smote_random,manual_ndvi_2
rf,producer_acc,20.0,0.9612403100775194,smote_random,manual_ndvi_2
rf,user_acc,1.0,0.6666666666666667,smote_random,manual_ndvi_2
rf,user_acc,2.0,0.40909090909090906,smote_random,manual_ndvi_2
rf,user_acc,3.0,0.35433070866141736,smote_random,manual_ndvi_2
rf,user_acc,4.0,0.6891891891891893,smote_random,manual_ndvi_2
rf,user_acc,6.0,0.3205128205128205,smote_random,manual_ndvi_2
rf,user_acc,7.0,0.4035087719298246,smote_random,manual_ndvi_2
rf,user_acc,11.0,0.2692307692307693,smote_random,manual_ndvi_2
rf,user_acc,12.0,0.34545454545454546,smote_random,manual_ndvi_2
rf,user_acc,13.0,0.7142857142857143,smote_random,manual_ndvi_2
rf,user_acc,14.0,0.4155844155844156,smote_random,manual_ndvi_2
rf,user_acc,16.0,0.2222222222222222,smote_random,manual_ndvi_2
rf,user_acc,17.0,0.19999999999999996,smote_random,manual_ndvi_2
rf,user_acc,20.0,0.9253731343283582,smote_random,manual_ndvi_2
svm,overall_accuracy,,0.5175438596491229,smote_random,manual_ndvi_2
svm,balanced_accuracy,,0.5954284045047978,smote_random,manual_ndvi_2
svm,kappa,,0.4579224163346045,smote_random,manual_ndvi_2
svm,producer_acc,1.0,0.7008196721311475,smote_random,manual_ndvi_2
svm,producer_acc,2.0,0.15602836879432624,smote_random,manual_ndvi_2
svm,producer_acc,3.0,0.7894736842105263,smote_random,manual_ndvi_2
svm,producer_acc,4.0,0.5792349726775956,smote_random,manual_ndvi_2
svm,producer_acc,6.0,0.33766233766233766,smote_random,manual_ndvi_2
svm,producer_acc,7.0,0.0898876404494382,smote_random,manual_ndvi_2
svm,producer_acc,11.0,0.6190476190476191,smote_random,manual_ndvi_2
svm,producer_acc,12.0,0.64,smote_random,manual_ndvi_2
svm,producer_acc,13.0,0.8888888888888888,smote_random,manual_ndvi_2
svm,producer_acc,14.0,0.5625,smote_random,manual_ndvi_2
svm,producer_acc,16.0,1.0,smote_random,manual_ndvi_2
svm,producer_acc,17.0,0.4545454545454546,smote_random,manual_ndvi_2
svm,producer_acc,20.0,0.9224806201550387,smote_random,manual_ndvi_2
svm,user_acc,1.0,0.6602316602316602,smote_random,manual_ndvi_2
svm,user_acc,2.0,0.3548387096774194,smote_random,manual_ndvi_2
svm,user_acc,3.0,0.32608695652173914,smote_random,manual_ndvi_2
svm,user_acc,4.0,0.7361111111111112,smote_random,manual_ndvi_2
svm,user_acc,6.0,0.3291139240506329,smote_random,manual_ndvi_2
svm,user_acc,7.0,0.4444444444444444,smote_random,manual_ndvi_2
svm,user_acc,11.0,0.16666666666666663,smote_random,manual_ndvi_2
svm,user_acc,12.0,0.3076923076923077,smote_random,manual_ndvi_2
svm,user_acc,13.0,0.7619047619047619,smote_random,manual_ndvi_2
svm,user_acc,14.0,0.3214285714285714,smote_random,manual_ndvi_2
svm,user_acc,16.0,0.24242424242424243,smote_random,manual_ndvi_2
svm,user_acc,17.0,0.18518518518518523,smote_random,manual_ndvi_2
svm,user_acc,20.0,0.937007874015748,smote_random,manual_ndvi_2
rf,overall_accuracy,,0.5719298245614035,smote_none,manual_ndvi_2
rf,balanced_accuracy,,0.6065476517283056,smote_none,manual_ndvi_2
rf,kappa,,0.5123563220909633,smote_none,manual_ndvi_2
rf,producer_acc,1.0,0.7745901639344263,smote_none,manual_ndvi_2
rf,producer_acc,2.0,0.2836879432624113,smote_none,manual_ndvi_2
rf,producer_acc,3.0,0.736842105263158,smote_none,manual_ndvi_2
rf,producer_acc,4.0,0.5846994535519126,smote_none,manual_ndvi_2
rf,producer_acc,6.0,0.2857142857142857,smote_none,manual_ndvi_2
rf,producer_acc,7.0,0.1966292134831461,smote_none,manual_ndvi_2
rf,producer_acc,11.0,0.6666666666666667,smote_none,manual_ndvi_2
rf,producer_acc,12.0,0.8,smote_none,manual_ndvi_2
rf,producer_acc,13.0,0.8333333333333334,smote_none,manual_ndvi_2
